NAMESPACE        PODNAME                                                      CONTAINER                        PULL          IMAGE                                                                         TAG
argo-events      controller-manager-6674dbcb97-fcnxc                          controller-manager               Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      eventbus-redteam-eventbus-js-0                               main                             IfNotPresent  nats                                                                          2.10.10
argo-events      eventbus-redteam-eventbus-js-0                               reloader                         IfNotPresent  natsio/nats-server-config-reloader                                            0.14.0
argo-events      eventbus-redteam-eventbus-js-0                               metrics                          IfNotPresent  natsio/prometheus-nats-exporter                                               0.14.0
argo-events      eventbus-redteam-eventbus-js-1                               main                             IfNotPresent  nats                                                                          2.10.10
argo-events      eventbus-redteam-eventbus-js-1                               reloader                         IfNotPresent  natsio/nats-server-config-reloader                                            0.14.0
argo-events      eventbus-redteam-eventbus-js-1                               metrics                          IfNotPresent  natsio/prometheus-nats-exporter                                               0.14.0
argo-events      eventbus-redteam-eventbus-js-2                               main                             IfNotPresent  nats                                                                          2.10.10
argo-events      eventbus-redteam-eventbus-js-2                               reloader                         IfNotPresent  natsio/nats-server-config-reloader                                            0.14.0
argo-events      eventbus-redteam-eventbus-js-2                               metrics                          IfNotPresent  natsio/prometheus-nats-exporter                                               0.14.0
argo-events      events-webhook-6f4f4b754d-djll5                              webhook                          Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-add-task-eventsource-fg6ql-86b5cf455-tvn2s           main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-add-task-sensor-sensor-rhf5d-6c6cc49fcf-vm8wz        main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-alignment-data-eventsource-j66sf-556964fb78-dlnvp    main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-alignment-data-sensor-sensor-7q9wj-7c46cdb9cd-p5mfr  main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-attack-eventsource-dlt7p-6d6b8d98bf-tfvm2            main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-attack-sensor-sensor-6nrsh-56c8bc8585-282bt          main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-custom-task-eventsource-ltnwj-5ff947b5bb-zvqnb       main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-custom-task-sensor-sensor-tc7ps-f9569ddfb-w7b8h      main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-generate-data-eventsource-75swp-66f4b9f789-clj6r     main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-generate-data-sensor-sensor-8j9qb-567ff66dc7-chtt8   main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo-events      redteam-logs-eventsource-r7qhx-86c6bfbc98-6nbfz              main                             Always        quay.io/argoproj/argo-events                                                  v1.9.7
argo             argo-server-749d875fb-tsnpw                                  argo-server                      IfNotPresent  quay.io/argoproj/argocli                                                      v3.7.1
argo             workflow-controller-6cb4558cbf-6qvtb                         workflow-controller              IfNotPresent  quay.io/argoproj/workflow-controller                                          v3.7.1
cert-manager     cert-manager-7f6864ff99-9g2qn                                cert-manager-controller          IfNotPresent  quay.io/jetstack/cert-manager-controller                                      v1.19.1
cert-manager     cert-manager-cainjector-6595c6777-rvs4k                      cert-manager-cainjector          IfNotPresent  quay.io/jetstack/cert-manager-cainjector                                      v1.19.1
cert-manager     cert-manager-webhook-58fd9998b4-gm4dn                        cert-manager-webhook             IfNotPresent  quay.io/jetstack/cert-manager-webhook                                         v1.19.1
default          demo-1                                                       demo-1                           IfNotPresent  188451452903.dkr.ecr.us-east-1.amazonaws.com/enkryptai-dev/frontend           dev-1759912524
enkryptai-stack  cluster-openfga-1                                            bootstrap-controller             IfNotPresent  ghcr.io/cloudnative-pg/cloudnative-pg                                         1.27.0
enkryptai-stack  cluster-openfga-1                                            postgres                         IfNotPresent  ghcr.io/cloudnative-pg/postgresql                                             17.4-8
enkryptai-stack  cluster-openfga-2                                            bootstrap-controller             IfNotPresent  ghcr.io/cloudnative-pg/cloudnative-pg                                         1.27.0
enkryptai-stack  cluster-openfga-2                                            postgres                         IfNotPresent  ghcr.io/cloudnative-pg/postgresql                                             17.4-8
enkryptai-stack  cm-acme-http-solver-66br4                                    acmesolver                       IfNotPresent  quay.io/jetstack/cert-manager-acmesolver                                      v1.19.1
enkryptai-stack  cm-acme-http-solver-8ztrx                                    acmesolver                       IfNotPresent  quay.io/jetstack/cert-manager-acmesolver                                      v1.19.1
enkryptai-stack  cm-acme-http-solver-qv7qn                                    acmesolver                       IfNotPresent  quay.io/jetstack/cert-manager-acmesolver                                      v1.19.1
enkryptai-stack  create-s3-buckets-xxkcn                                      create-buckets                   IfNotPresent  amazon/aws-cli                                                                2.27.55
enkryptai-stack  create-s3-folders-xxrsp                                      s3-folder-init                   IfNotPresent  amazon/aws-cli                                                                2.17.18
